,Country,Regional indicator,Score 2017,GDP per capita 2017,Social support 2017,Healthy life expectancy 2017,Freedom to make life choices 2017,Generosity 2017,Perceptions of corruption 2017,Score 2018,GDP per capita 2018,Social support 2018,Healthy life expectancy 2018,Freedom to make life choices 2018,Generosity 2018,Perceptions of corruption 2018,Score 2019,GDP per capita 2019,Social support 2019,Healthy life expectancy 2019,Freedom to make life choices 2019,Generosity 2019,Perceptions of corruption 2019
109,Namibia,Sub-Saharan Africa,4.441,0.8740000000000001,1.281,0.365,0.519,0.051,0.064,4.638999999999999,0.879,1.3130000000000002,0.47700000000000004,0.401,0.07,0.055999999999999994,4.571100235,0.84008199,1.2457381490000001,0.40687117,0.44459897299999995,0.076454483,0.054320343
110,Cambodia,Southeast Asia,4.433,0.5489999999999999,1.088,0.457,0.696,0.256,0.065,4.7,0.574,1.122,0.637,0.609,0.23199999999999998,0.062,4.8484001160000005,0.544634938,1.0714260340000001,0.587904334,0.674940348,0.233342081,0.072837502
111,Burkina Faso,Sub-Saharan Africa,4.4239999999999995,0.314,1.097,0.254,0.312,0.175,0.128,4.587,0.331,1.056,0.38,0.255,0.177,0.113,4.768700123,0.302467644,0.9293859,0.312833875,0.322398156,0.18639060899999998,0.126408055
112,Egypt,Middle East and North Africa,4.419,0.885,1.025,0.5529999999999999,0.312,0.092,0.107,4.166,0.9129999999999999,1.0390000000000001,0.644,0.24100000000000002,0.076,0.067,4.151400089,0.8752289409999999,0.982539535,0.596911311,0.37368473399999996,0.068801254,0.095461793
113,Mozambique,Sub-Saharan Africa,4.417,0.198,0.902,0.17300000000000001,0.531,0.20600000000000002,0.158,4.466,0.204,0.986,0.39,0.494,0.19699999999999998,0.138,4.623600006,0.178741366,0.9552028779999999,0.324223638,0.56077534,0.22042210399999998,0.163064316
114,Kenya,Sub-Saharan Africa,4.41,0.493,1.048,0.45399999999999996,0.504,0.35200000000000004,0.055,4.5089999999999995,0.512,0.983,0.581,0.431,0.37200000000000005,0.053,4.583000183,0.47641339899999996,0.905077755,0.536312759,0.519180536,0.39390209299999995,0.067201078
115,Zambia,Sub-Saharan Africa,4.377,0.562,1.047,0.295,0.503,0.221,0.08199999999999999,4.107,0.578,1.058,0.426,0.431,0.247,0.087,3.759399891,0.536833763,0.8960372809999999,0.36359334,0.49131754,0.250620902,0.086705238
116,Mauritania,Sub-Saharan Africa,4.356,0.557,1.245,0.292,0.129,0.134,0.09300000000000001,4.49,0.57,1.167,0.489,0.066,0.106,0.08800000000000001,4.374599934,0.539684892,1.113323569,0.425184816,0.185714483,0.128899664,0.122257635
117,Ethiopia,Sub-Saharan Africa,4.35,0.308,0.95,0.391,0.452,0.22,0.146,4.2860000000000005,0.336,1.033,0.532,0.344,0.209,0.1,4.186200142,0.315125644,1.001103282,0.483846247,0.41256687,0.227698103,0.117437035
118,Georgia,Commonwealth of Independent States,4.34,0.853,0.5920000000000001,0.643,0.375,0.038,0.215,4.519,0.8859999999999999,0.6659999999999999,0.752,0.34600000000000003,0.043,0.16399999999999998,4.672599792,0.847198069,0.7311939000000001,0.6946576240000001,0.485494107,0.047609735,0.174088076
119,Armenia,Commonwealth of Independent States,4.321000000000001,0.816,0.99,0.6659999999999999,0.26,0.077,0.027999999999999997,4.559,0.85,1.055,0.815,0.28300000000000003,0.095,0.064,4.676799774,0.8082624079999999,1.0345768929999999,0.77585727,0.37807580799999996,0.107225738,0.104618184
120,Myanmar,Southeast Asia,4.308,0.682,1.1740000000000002,0.429,0.58,0.598,0.17800000000000002,4.36,0.71,1.181,0.555,0.525,0.5660000000000001,0.172,4.308000088,0.67809093,1.098178267,0.49544307600000004,0.5974788670000001,0.569813728,0.18753035399999998
121,Chad,Sub-Saharan Africa,4.301,0.358,0.907,0.053,0.18899999999999997,0.18100000000000002,0.06,4.35,0.35,0.7659999999999999,0.192,0.174,0.198,0.078,4.422699928,0.30228748899999996,0.739118278,0.1087441,0.22860176899999998,0.210805088,0.085755408
122,Congo (Kinshasa),Sub-Saharan Africa,4.245,0.069,1.136,0.204,0.312,0.19699999999999998,0.052000000000000005,4.418,0.094,1.125,0.35700000000000004,0.26899999999999996,0.212,0.053,4.31099987,0.062487468,0.833055019,0.277212054,0.36462298,0.254324883,0.081466645
123,India,South Asia,4.19,0.721,0.747,0.485,0.539,0.172,0.09300000000000001,4.015,0.755,0.765,0.588,0.498,0.2,0.085,3.573299885,0.730576158,0.644198656,0.54057014,0.5811422470000001,0.237072483,0.105587982
124,Niger,Sub-Saharan Africa,4.166,0.131,0.867,0.221,0.39,0.175,0.099,4.628,0.138,0.774,0.366,0.318,0.188,0.102,4.909599781,0.10833033199999999,0.7038001420000001,0.29881635300000003,0.435311615,0.20817689600000003,0.137554765
125,Uganda,Sub-Saharan Africa,4.1610000000000005,0.322,1.09,0.237,0.45,0.259,0.061,4.189,0.332,1.069,0.44299999999999995,0.35600000000000004,0.252,0.06,4.43200016,0.31233742800000003,1.052327394,0.378311664,0.401682556,0.264807373,0.063818842
126,Benin,Sub-Saharan Africa,4.141,0.37799999999999995,0.37200000000000005,0.24,0.44,0.163,0.067,4.883,0.39299999999999996,0.43700000000000006,0.397,0.349,0.175,0.08199999999999999,5.21600008,0.366244704,0.352428436,0.328062952,0.40583989,0.196670428,0.125931874
127,Ukraine,Commonwealth of Independent States,4.103,0.7929999999999999,1.413,0.609,0.163,0.187,0.011000000000000001,4.332,0.82,1.39,0.7390000000000001,0.17800000000000002,0.187,0.01,4.56069994,0.780434608,1.321316481,0.6986743809999999,0.319423705,0.17855131600000002,0.00965116
128,Togo,Sub-Saharan Africa,3.9989999999999997,0.259,0.474,0.253,0.434,0.158,0.10099999999999999,4.085,0.275,0.5720000000000001,0.41,0.293,0.177,0.085,4.187200069,0.268116266,0.547622859,0.34273117799999997,0.303539038,0.200774252,0.114826456
