,Country,Region,Score Average,GDP per Capita Average,Social Support Average,Healthy Life Expectancy Average,Generosity Average,Freedom to Make Life Choices Average,Perceptions of Corruption Average
20,Czech Republic,Central and Eastern Europe,6.824633372000001,1.2449999999999999,1.46042889,0.8895214833333333,0.052108643,0.5019148586666667,0.03993440766666667
21,Malta,Western Europe,6.708599989666666,1.28,1.4959856413333332,0.9516806746666667,0.36406027700000004,0.614079677,0.15728802566666666
22,France,Western Europe,6.581599921,1.3033333333333335,1.4656130593333332,0.9942380756666666,0.10720256766666668,0.490016967,0.19543441233333333
23,Mexico,Latin America and Caribbean,6.516000050999999,1.0486666666666666,1.2671111663333334,0.817867008,0.07536482833333334,0.4886308509999999,0.08371122266666665
24,Chile,Latin America and Caribbean,6.382833296333334,1.1403333333333334,1.3410956303333332,0.872420276,0.179859667,0.401827409,0.05994978333333333
25,Panama,Latin America and Caribbean,6.351933344666667,1.1243333333333334,1.4187164323333332,0.8491821786666667,0.11040243599999999,0.56428326,0.057076841999999996
26,Brazil,Latin America and Caribbean,6.364866620333333,0.992,1.425488039,0.7477063543333333,0.11355819600000001,0.45543090966666666,0.09350620133333333
27,Argentina,Latin America and Caribbean,6.149566658,1.0793333333333333,1.4241812310000002,0.8249245683333334,0.06603349033333333,0.520613449,0.05480501966666668
28,Guatemala,Latin America and Caribbean,6.405633344000001,0.7873333333333333,1.237089018,0.6866508616666667,0.174870555,0.5840489073333334,0.08245343333333334
29,Uruguay,Latin America and Caribbean,6.370700064333332,1.1033333333333333,1.4496937113333335,0.8396429616666666,0.12971456366666667,0.58075569,0.1661416913333333
30,Saudi Arabia,Middle East and North Africa,6.384166620999999,1.3869999999999998,1.3326500376666666,0.7292727123333332,0.088480228,0.49882582366666667,0.140774105
31,Singapore,Southeast Asia,6.327366663666667,1.5433333333333332,1.4364856366666665,1.095604761,0.2502569686666667,0.6074390686666667,0.48105407866666666
32,Malaysia,Southeast Asia,5.681766744,1.1809999999999998,1.2010007633333333,0.7618372906666666,0.28196205366666666,0.48698051033333334,0.048387711
33,Spain,Western Europe,6.354966629,1.2626666666666666,1.481033062,1.026114361,0.15343516,0.41232793866666667,0.087526593
34,Colombia,Latin America and Caribbean,6.1828000576666655,0.9683333333333333,1.3944836533333334,0.7620067163333334,0.09679136466666667,0.5092966796666666,0.039616123333333336
35,Slovakia,Central and Eastern Europe,6.217200023666666,1.222,1.4884437293333335,0.8368217530000001,0.11857659133333333,0.3705141763333333,0.013097146999999998
36,El Salvador,Latin America and Caribbean,6.256099993333334,0.802,1.2074658706666666,0.7269100039999999,0.09231210000000001,0.47168130599999997,0.09101011733333332
37,Nicaragua,Latin America and Caribbean,6.127700073333333,0.6766666666666667,1.3049375833333334,0.7793644183333334,0.206957159,0.5073724346666667,0.14302819133333333
38,Poland,Central and Eastern Europe,6.163766600333333,1.186,1.3987999236666668,0.8443461586666666,0.096124748,0.5289678426666666,0.09151375033333332
39,Bahrain,Middle East and North Africa,6.177100055666667,1.346,1.34977457,0.802612124,0.26181790366666663,0.5801333006666667,0.11989908566666667
40,Uzbekistan,Commonwealth of Independent States,6.175866610333333,0.7276666666666666,1.5156733473333333,0.6925679043333334,0.337770341,0.6827567753333333,0.25975342166666665
41,Kuwait,Middle East and North Africa,6.068699965,1.4826666666666668,1.2882599416666667,0.753156311,0.147250364,0.5390871396666667,0.10527164433333332
42,Thailand,Southeast Asia,6.026266600333333,1.0273333333333332,1.391173172333333,0.776285282,0.36656967133333335,0.6011499346666667,0.029612620666666662
43,Italy,Western Europe,6.203466716666667,1.274,1.445432,1.0025016420000001,0.155088737,0.2777685243333334,0.032715199333333334
44,Ecuador,Latin America and Caribbean,5.975399995333333,0.8966666666666668,1.287675871,0.8142792476666667,0.11833549233333333,0.536411517,0.09791779433333332
45,Lithuania,Central and Eastern Europe,6.105499959333334,1.2106666666666668,1.4916219130000001,0.7764737276666667,0.04089701366666667,0.35382026333333333,0.043116758
46,Slovenia,Central and Eastern Europe,6.1431333273333335,1.2320000000000002,1.4978925636666667,0.9138493486666667,0.14990049933333335,0.6145667146666667,0.061505440999999994
47,Romania,Central and Eastern Europe,6.046233380666667,1.131333333333333,1.2151460333333335,0.7810982866666666,0.07972720633333334,0.5082841086666666,0.002276523
48,Latvia,Central and Eastern Europe,5.940999936333334,1.1609999999999998,1.444466263,0.7536341413333334,0.08080264833333332,0.31873293566666666,0.07346384133333334
49,Japan,East Asia,5.890600006,1.305,1.4044462303333336,1.0496271136666666,0.06123726000000001,0.49782195833333337,0.15714654600000003
50,Mauritius,Sub-Saharan Africa,5.960099921,1.0999999999999999,1.394888946,0.7484631363333333,0.21563151699999997,0.5576127113333332,0.06469607633333334
51,Jamaica,Latin America and Caribbean,5.889933357333334,0.823,1.4597630646666666,0.7708113626666666,0.10642283100000001,0.539374869,0.029715928333333332
52,South Korea,East Asia,5.8807999356666665,1.2776666666666667,1.1855201793333334,1.0045141986666666,0.173434622,0.22078545000000002,0.06719876066666665
53,Russia,Commonwealth of Independent States,5.668000001333333,1.1616666666666668,1.4365480363333336,0.6684819699999999,0.08201397199999999,0.37749986499999993,0.033899787333333334
54,Kazakhstan,Commonwealth of Independent States,5.885633317333333,1.1529999999999998,1.4924225646666667,0.6862629803333333,0.14923793100000002,0.453810714,0.109154562
55,Cyprus,Western Europe,5.988999973333333,1.2403333333333333,1.1877235853333332,0.9923748656666668,0.20664411133333335,0.42946195733333337,0.04240238133333333
56,Bolivia,Latin America and Caribbean,5.759499981,0.7593333333333332,1.1914501846666667,0.6254818879999999,0.13879169133333333,0.5638215,0.06364754566666668
57,Estonia,Central and Eastern Europe,5.884600013666667,1.2123333333333335,1.504410842333333,0.8178716693333334,0.10471224933333334,0.5415549350000001,0.17892227299999997
58,Paraguay,Latin America and Caribbean,5.705366682666667,0.8416666666666667,1.4550658533333334,0.7092898819999999,0.18343308033333336,0.5471700206666666,0.073025793
59,Peru,Latin America and Caribbean,5.718933379,0.9426666666666668,1.2438019906666666,0.7841480583333333,0.08887060566666666,0.49940335266666674,0.029344220000000004
60,Kosovo,Central and Eastern Europe,6.029066693666667,0.864,1.2153209406666665,0.6695697223333333,0.2870956216666667,0.4980934736666667,0.012519674666666666
61,Moldova,Commonwealth of Independent States,5.592166692,0.6663333333333333,1.2887707326666666,0.6907664843333333,0.175349728,0.28885716266666667,0.004792914666666666
62,Turkmenistan,Commonwealth of Independent States,5.334033364666666,1.028,1.5271589823333336,0.595482679,0.255376442,0.442078892,0.032834630000000004
63,Hungary,Central and Eastern Europe,5.792800022000001,1.181,1.4113364653333331,0.7889312896666668,0.070830413,0.2814672673333333,0.023182724333333335
